Dataset Name,Model Name,Attack Field,Attack Type,Accuracy,Precision,Recall,F1 Score
D1,BertVgg,,,0.947540984,0.97704918,0.922600619,0.949044586
RECOVERY,BertVgg,,,0.979757085,0.997619048,0.978971963,0.988207547
D1,CnnVgg,,,0.986885246,0.990163934,0.983713355,0.986928105
RECOVERY,CnnVgg,,,0.983805668,0.992857143,0.988151659,0.990498812
D1,LstmVgg,,,0.929508197,0.954098361,0.909375,0.9312
RECOVERY,LstmVgg,,,0.925101215,0.992857143,0.924611973,0.957520092
D1,BertVgg,Image,FGSM,0.798360656,0.881967213,0.755617978,0.813918306
RECOVERY,BertVgg,Image,FGSM,0.884615385,0.980952381,0.893709328,0.935300795
D1,CnnVgg,Image,FGSM,0.967213115,0.967213115,0.967213115,0.967213115
RECOVERY,CnnVgg,Image,FGSM,0.971659919,0.997619048,0.969907407,0.983568075
D1,LstmVgg,Image,FGSM,0.82295082,0.895081967,0.782234957,0.834862385
RECOVERY,LstmVgg,Image,FGSM,0.906882591,0.985714286,0.911894273,0.947368421
D1,BertVgg,Image,FastFGSM,0.845901639,0.944262295,0.789041096,0.859701493
RECOVERY,BertVgg,Image,FastFGSM,0.856275304,0.952380952,0.88691796,0.918484501
D1,CnnVgg,Image,FastFGSM,0.972131148,0.97704918,0.967532468,0.972267537
RECOVERY,CnnVgg,Image,FastFGSM,0.969635628,0.992857143,0.972027972,0.982332155
D1,LstmVgg,Image,FastFGSM,0.801639344,0.904918033,0.75,0.820208024
RECOVERY,LstmVgg,Image,FastFGSM,0.917004049,0.985714286,0.922048998,0.952819333
D1,BertVgg,Image,MIFGSM,0.906557377,0.970491803,0.860465116,0.912172573
RECOVERY,BertVgg,Image,MIFGSM,0.78340081,0.878571429,0.868235294,0.873372781
D1,CnnVgg,Image,MIFGSM,0.97704918,0.993442623,0.961904762,0.977419355
RECOVERY,CnnVgg,Image,MIFGSM,0.977732794,0.99047619,0.983451537,0.986951364
D1,LstmVgg,Image,MIFGSM,0.76557377,0.875409836,0.717741935,0.788774003
RECOVERY,LstmVgg,Image,MIFGSM,0.917004049,0.985714286,0.922048998,0.952819333
D1,BertVgg,Image,DIFGSM,0.898360656,0.963934426,0.852173913,0.904615385
RECOVERY,BertVgg,Image,DIFGSM,0.785425101,0.883333333,0.86682243,0.875
D1,CnnVgg,Image,DIFGSM,0.975409836,0.990163934,0.961783439,0.975767367
RECOVERY,CnnVgg,Image,DIFGSM,0.967611336,0.988095238,0.974178404,0.98108747
D1,LstmVgg,Image,DIFGSM,0.755737705,0.862295082,0.710810811,0.779259259
RECOVERY,LstmVgg,Image,DIFGSM,0.917004049,0.983333333,0.92393736,0.952710496
D1,BertVgg,Image,NIFGSM,0.850819672,0.921311475,0.807471264,0.860643185
RECOVERY,BertVgg,Image,NIFGSM,0.844129555,0.935714286,0.887133183,0.910776362
D1,CnnVgg,Image,NIFGSM,0.968852459,0.973770492,0.964285714,0.969004894
RECOVERY,CnnVgg,Image,NIFGSM,0.969635628,0.992857143,0.972027972,0.982332155
D1,LstmVgg,Image,NIFGSM,0.798360656,0.895081967,0.75,0.816143498
RECOVERY,LstmVgg,Image,NIFGSM,0.914979757,0.988095238,0.918141593,0.951834862
D1,BertVgg,Image,PGD,0.904918033,0.963934426,0.862170088,0.910216718
RECOVERY,BertVgg,Image,PGD,0.789473684,0.880952381,0.872641509,0.876777251
D1,CnnVgg,Image,PGD,0.973770492,0.990163934,0.958730159,0.974193548
RECOVERY,CnnVgg,Image,PGD,0.979757085,0.995238095,0.981220657,0.988179669
D1,LstmVgg,Image,PGD,0.747540984,0.849180328,0.705722071,0.770833333
RECOVERY,LstmVgg,Image,PGD,0.910931174,0.978571429,0.921524664,0.949191686
D1,BertVgg,Image,PGDL2,0.8,0.875409836,0.760683761,0.81402439
RECOVERY,BertVgg,Image,PGDL2,0.886639676,0.978571429,0.897379913,0.936218679
D1,CnnVgg,Image,PGDL2,0.96557377,0.960655738,0.970198675,0.965403624
RECOVERY,CnnVgg,Image,PGDL2,0.973684211,0.997619048,0.972157773,0.984723854
D1,LstmVgg,Image,PGDL2,0.818032787,0.881967213,0.781976744,0.828967643
RECOVERY,LstmVgg,Image,PGDL2,0.9048583,0.985714286,0.90989011,0.946285714
D1,BertVgg,Image,PGDRS,0.8,0.868852459,0.763688761,0.812883436
RECOVERY,BertVgg,Image,PGDRS,0.884615385,0.978571429,0.895424837,0.935153584
D1,CnnVgg,Image,PGDRS,0.968852459,0.967213115,0.970394737,0.968801314
RECOVERY,CnnVgg,Image,PGDRS,0.969635628,0.997619048,0.967667436,0.982415006
D1,LstmVgg,Image,PGDRS,0.816393443,0.878688525,0.781341108,0.827160494
RECOVERY,LstmVgg,Image,PGDRS,0.906882591,0.988095238,0.910087719,0.947488584
D1,BertVgg,Image,PGDRSL2,0.796721311,0.868852459,0.759312321,0.810397554
RECOVERY,BertVgg,Image,PGDRSL2,0.888663968,0.978571429,0.899343545,0.937286203
D1,CnnVgg,Image,PGDRSL2,0.96557377,0.963934426,0.967105263,0.965517241
RECOVERY,CnnVgg,Image,PGDRSL2,0.971659919,0.997619048,0.969907407,0.983568075
D1,LstmVgg,Image,PGDRSL2,0.818032787,0.885245902,0.780346821,0.829493088
RECOVERY,LstmVgg,Image,PGDRSL2,0.9048583,0.985714286,0.90989011,0.946285714
D1,BertVgg,Image,Pixle,0.657377049,0.97704918,0.596,0.740372671
RECOVERY,BertVgg,Image,Pixle,0.912955466,0.997619048,0.908893709,0.951191827
D1,CnnVgg,Image,Pixle,0.92295082,0.990163934,0.87283237,0.927803379
RECOVERY,CnnVgg,Image,Pixle,0.975708502,0.997619048,0.974418605,0.985882353
D1,LstmVgg,Image,Pixle,0.724590164,0.967213115,0.651214128,0.778364116
RECOVERY,LstmVgg,Image,Pixle,0.927125506,0.99047619,0.928571429,0.958525346
D1,BertVgg,Text,HotFlip,0.729613823,0.776317679,0.681006872,0.709998794
RECOVERY,BertVgg,Text,HotFlip,0.713379926,0.767567425,0.732469492,0.743196895
D1,CnnVgg,Text,HotFlip,0.796594176,0.770476229,0.7453642,0.767224721
RECOVERY,CnnVgg,Text,HotFlip,0.774908203,0.766746634,0.775816488,0.78213689
D1,LstmVgg,Text,HotFlip,0.678596491,0.787064998,0.664459811,0.730425301
RECOVERY,LstmVgg,Text,HotFlip,0.752870719,0.814246603,0.769031313,0.751008197
D1,BertVgg,Text,Text Bugger,0.701536307,0.732382856,0.672877589,0.687662649
RECOVERY,BertVgg,Text,Text Bugger,0.712388963,0.738297483,0.774646456,0.737904021
D1,CnnVgg,Text,Text Bugger,0.704313857,0.659580296,0.778182429,0.742341122
RECOVERY,CnnVgg,Text,Text Bugger,0.755872965,0.757982967,0.78788181,0.770765586
